tid, keys,topic
0, teacher test home rais skill year-old vacat pay standard union,Education
1, tax economi econom growth plan great group peopl citizen prosper,Economy
2, school fund healthcar system polici mine industri retir voucher noth,Education
3, taxpay campaign million dollar shame fund healthcar work donor special,Campaign
4, good health class promis job care middl premium failur due,Healthcare
5, friend famili offici bill time taxpay middle-class wealthi evid fraud,Unclear
6, job year sector growth privat record offic oppon word creat,Economy
7, tax women money break busi taxpay day expens hand pay,Tax
8, rate year job unemploy nation past time recoveri yrs excus,Economy
9, money tough call interest bridg fee loan local half result,Unclear
10, kid school educ student court cut doesn't economi voter state,Education
11, chang tax climat poll issu game scientist pension someon code,Environment
12, tax job state increas high time deal back busi educ,Tax
13, rape incest case minor issu victim abort peopl women surgeon,Healthcare
14, gun law safeti lobbi smart attack group repeal pro-gun answer,Gun
15, wage min worker minimum tax rich job board incom hour,Economy
16, polici women live famili prison number stori thing scandal vendor,Criminal Justice
17, job creation dead corpor thousand raider work back-rt bring ten,Economy
18, union contributor boss campaign payback govern care sound attend major,Campaign
19, educ school plan governor teacher candid union public free real,Education